O1,O2,O3,O4,O5,Y1,Y2,Y3,Y4,Y5
1,1.032,0.964,1.116,1.064,0.776,0.964,0.892,1.404,1.016
1.004,1.02,0.976,1.228,1.064,0.952,0.992,0.872,1.524,0.984
0.996,1.028,0.988,1.3,1.064,0.8,1.008,0.836,1.416,0.996
0.996,1.048,0.976,1.268,1.068,0.724,0.964,0.828,1.428,0.992
0.988,1.036,0.988,1.328,1.072,0.724,0.964,0.848,1.504,0.968
0.984,1.024,1,1.36,1.068,0.74,1.008,0.836,1.232,1.024
1.012,1.044,0.992,1.364,1.064,0.816,1.012,0.832,1.432,1.032
1.008,1.032,1.024,1.36,1.064,0.796,0.94,0.86,1.504,1.016
1.012,1.016,1.052,1.352,1.06,0.736,0.96,0.856,1.372,1.056
0.996,1.04,1,1.324,1.06,0.764,1.016,0.828,1.344,1
1.004,1.036,0.992,1.324,1.064,0.804,0.868,0.812,1.396,0.98
1.016,1.028,0.988,1.292,1.068,0.804,0.876,0.848,1.444,0.976
1.004,1.04,0.98,1.268,1.072,0.784,1,0.844,1.56,0.94
0.988,1.044,0.988,1.232,1.084,0.824,1.036,0.864,1.368,0.932
0.996,1.024,1.008,1.22,1.084,0.836,0.984,0.916,1.296,1.016
1.004,1.028,0.984,1.216,1.092,0.756,1.004,0.94,1.268,1.008
0.992,1.012,0.98,1.2,1.076,0.8,1,0.956,1.184,1.004
0.988,0.976,0.996,1.192,1.096,0.848,0.92,0.956,1.316,1.072
1,0.972,1.008,1.164,1.076,0.804,0.972,0.936,1.152,1.064
0.992,1.012,0.992,1.16,1.1,0.732,1.036,0.9,1.216,1.036
0.976,1.008,1.016,1.164,1.08,0.712,1.012,0.88,1.184,1.1
0.988,1.016,1.032,1.136,1.108,0.736,0.972,0.896,1.044,1.076
0.988,1.012,0.98,1.1,1.088,0.788,0.972,0.908,1,1.036
0.988,1.024,0.976,1.084,1.088,0.892,0.968,0.912,1.056,1.048
0.976,1.044,0.976,1.04,1.076,0.772,0.912,0.9,1.344,1.024
0.996,1.052,0.972,1.032,1.092,0.8,0.948,0.864,1.316,0.988
1,1.06,0.984,1.024,1.088,0.8,0.988,0.876,1.256,1.016
0.996,1.056,1.02,1.044,1.096,0.732,0.956,0.892,1.248,0.996
0.984,1.06,1.008,1.044,1.088,0.732,0.908,0.916,1.26,0.976
1.004,1.064,1.02,1.032,1.08,0.76,1.044,0.9,1.112,1.008
1.004,1.02,1.044,1.04,1.072,0.828,1.092,0.936,0.972,1.02
1,1.016,1.024,1.044,1.084,0.78,1.092,0.94,0.956,0.964
1.008,1.072,1.02,1.036,1.084,0.728,1.064,0.92,1.02,1.012
0.992,1.048,1.024,1.06,1.092,0.704,1.04,0.92,1.124,1.02
0.992,1.044,1.02,1.044,1.084,0.716,1.064,0.9,1.2,0.96
1.004,1.044,1.02,1.036,1.088,0.768,1.048,0.896,1.26,0.992
1.004,1.052,1.044,1.056,1.092,0.82,1.052,0.92,1.26,0.984
0.996,1.048,1.036,1.052,1.092,0.736,1.04,0.916,1.224,0.956
0.992,1.056,1.028,1.044,1.08,0.756,1.032,0.916,1.376,1.004
0.996,1.048,1.02,1.108,1.072,0.768,0.944,0.904,1.416,1.024
1.004,1.048,0.996,1.084,1.08,0.796,0.94,0.9,1.404,0.98
1.012,1.064,0.984,1.116,1.084,0.76,0.96,0.892,1.312,1.012
1.008,1.056,0.988,1.264,1.076,0.716,1,0.856,1.224,1.008
0.992,1.06,0.972,1.248,1.068,0.716,0.928,0.864,1.308,0.952
1.012,1.06,0.976,1.324,1.076,0.752,0.94,0.912,1.24,0.976
1,1.072,0.996,1.348,1.072,0.816,1.012,0.94,1.236,0.972
0.992,1.076,0.984,1.34,1.076,0.804,1.032,0.96,1.396,0.94
0.984,1.06,0.972,1.34,1.056,0.76,0.916,0.916,1.292,0.904
1.004,1.048,0.968,1.332,1.044,0.764,0.92,0.88,1.308,0.948
1.004,1.06,0.976,1.304,1.032,0.76,0.968,0.864,1.408,0.976
0.996,1.06,0.976,1.3,1.028,0.76,1.032,0.88,1.256,0.956
0.984,1.052,1.012,1.272,1.032,0.724,0.912,0.896,1.4,0.992
1.004,1.06,1,1.296,0.992,0.716,0.932,0.92,1.44,1.048
1.008,1.044,0.992,1.248,0.996,0.688,1.044,0.884,1.256,1.032
1.004,1.048,1.012,1.232,0.988,0.732,1.036,0.876,1.32,1.06
0.992,1.048,1.02,1.26,1.004,0.844,0.932,0.888,1.236,1.072
0.992,1.052,1,1.2,0.98,0.868,0.952,0.908,1.272,1.028
1,1.048,1.016,1.212,1,0.832,1.04,0.908,1.308,1.06
0.996,1.064,1.02,1.2,0.992,0.784,1.036,0.892,1.204,1.004
0.976,1.06,1.016,1.172,0.996,0.764,0.956,0.872,1.392,0.876
0.984,1.052,1.004,1.184,1,0.76,1.008,0.88,1.264,0.804
1.004,1.036,1.004,1.204,1.012,0.772,1.076,0.932,1.308,0.792
1.008,1.04,0.992,1.172,1.012,0.76,1.06,0.968,1.208,0.792
1.004,1.016,1.004,1.156,1.012,0.744,0.968,0.976,1.088,0.812
1.008,1.04,1.028,1.144,1.012,0.824,1.024,1.004,1.212,0.852
1.02,1.032,0.996,1.104,1.016,0.868,1.06,0.96,1.192,1.152
1.016,1.04,1.008,1.116,1.02,0.82,1.04,0.876,1.352,1.044
1.008,1.044,1.012,1.12,1.028,0.756,1.008,0.852,1.284,0.944
1.004,1.044,0.988,1.1,1.028,0.792,1.068,0.868,1.292,0.964
1.008,1.052,0.984,1.148,1.016,0.816,1.06,0.92,1.38,1
1.004,1.052,0.996,1.144,0.996,0.824,0.976,0.924,1.352,0.956
0.992,1.044,0.984,1.152,1.028,0.728,1.024,0.9,1.436,0.996
1.012,1.052,0.976,1.168,1.024,0.676,1.044,0.904,1.312,1.056
1.012,1.056,1.012,1.188,1.028,0.708,1.008,0.972,1.392,1.036
1.004,1.04,1.012,1.192,1.032,0.896,1.004,0.98,1.288,1.06
0.996,1.052,0.984,1.224,1.04,0.844,1.052,0.972,1.404,1.096
1,1.056,0.988,1.288,1.048,0.772,1.024,0.912,1.316,1.108
1.008,1.052,0.988,1.268,1.052,0.792,1.004,0.884,1.348,1.076
1.024,1.064,0.98,1.28,1.06,0.872,1.044,0.876,1.444,1.08
1.012,1.068,1,1.292,1.052,0.756,1.036,0.832,1.312,1.024
0.996,1.052,1.008,1.356,1.076,0.72,0.972,0.816,1.332,0.956
1.004,1.072,1.004,1.292,1.06,0.76,0.992,0.836,1.36,0.952
1.004,1.06,0.984,1.316,1.084,0.796,1.024,0.86,1.472,0.992
1,1.048,0.976,1.308,1.072,0.78,1.004,0.856,1.524,0.972
0.992,1.056,0.984,1.32,1.092,0.748,0.984,0.896,1.408,1.036
0.992,1.06,0.96,1.312,1.072,0.776,1.016,0.924,1.464,1.008
0.996,1.048,0.976,1.32,1.072,0.824,1.024,0.936,1.404,0.92
0.996,1.072,0.972,1.308,1.072,0.848,0.972,0.936,1.468,0.932
0.988,1.06,0.98,1.256,1.076,0.744,1.032,0.912,1.488,0.976
0.996,1.04,0.956,1.244,1.08,0.752,1.052,0.904,1.356,1.02
1.012,1.056,0.964,1.22,1.08,0.768,0.984,0.9,1.392,1.068
1.016,1.052,0.992,1.196,1.076,0.756,1.008,0.912,1.328,1.128
1.008,1.048,0.972,1.192,1.068,0.716,1.036,0.912,1.564,1.072
1.028,1.068,0.956,1.184,1.064,0.744,1.048,0.904,1.5,1.068
1.024,1.068,0.968,1.16,1.072,0.788,0.996,0.888,1.388,1.112
1.016,1.06,0.98,1.156,1.072,0.78,1.024,0.912,1.476,1.084
1.004,1.072,0.956,1.176,1.076,0.74,1.048,0.924,1.392,1
1.02,1.068,0.96,1.156,1.064,0.716,1.04,0.94,1.348,1.016
1.024,1.06,0.98,1.136,1.064,0.792,0.968,0.956,1.472,1.02
1.028,1.056,0.972,1.172,1.076,0.912,1.02,0.936,1.288,0.972
1.004,1.044,0.956,1.16,1.06,0.816,1.052,0.9,1.096,1.024
1.012,1.068,0.96,1.152,1.064,0.776,0.992,0.884,1.176,1.044
1.016,1.06,0.956,1.144,1.064,0.78,0.964,0.912,1.316,0.992
1.012,1.04,0.948,1.12,1.056,0.804,1.028,0.888,1.228,1.024
1.004,1.048,0.96,1.04,1.052,0.78,1.056,0.888,1.416,1.02
0.992,1.048,0.976,1.048,1.032,0.764,0.988,0.884,1.256,0.932
1.016,1.048,0.96,1.028,1.032,0.736,1.028,0.868,1.404,0.912
1.02,1.048,0.98,1.028,1.024,0.76,1.064,0.876,1.304,0.868
1.004,1.064,0.996,1.004,1.024,0.796,1.008,0.888,1.344,1.02
1,1.056,0.984,0.992,1.024,0.772,0.888,0.948,1.316,0.956
1.024,1.044,0.976,0.972,1.028,0.804,0.944,0.976,1.336,0.972
1.028,1.048,1.016,0.972,1.04,0.832,1.048,0.996,1.364,1.056
1.008,1.04,1,0.952,1.028,0.764,1.032,0.98,1.292,1.032
1.016,1.048,0.964,0.936,1.036,0.768,0.984,0.924,1.436,0.98
1.016,1.048,0.96,0.94,1.06,0.808,1.028,0.892,1.352,0.912
1,1.024,0.98,0.952,1.04,0.812,1.052,0.892,1.368,0.952
0.988,1.048,0.976,0.964,1.076,0.728,0.96,0.92,1.476,0.944
1,1.024,0.98,0.976,1.048,0.788,0.988,0.928,1.336,0.868
1.004,1.032,1.016,1,1.088,0.8,1.028,0.908,1.404,0.788
0.984,1.028,1,1.056,1.088,0.756,0.952,0.912,1.444,0.744
0.996,1.024,0.996,1.168,1.08,0.792,0.948,0.96,1.388,0.784
1.012,1.024,1.028,1.108,1.072,0.78,1.024,0.984,1.256,1.012
1.008,1.028,1.036,1.168,1.06,0.76,1.048,0.928,1.212,0.92
1.008,1.012,1.016,1.188,1.048,0.732,0.976,0.896,1.248,0.86
1.028,1.02,1.028,1.22,1.044,0.76,0.976,0.928,1.196,0.964
1.008,1.016,1.008,1.216,1.036,0.796,1.016,0.964,1.264,1.012
0.98,1.02,0.98,1.22,1.036,0.848,1.024,0.988,1.26,1.02
0.988,1.016,0.98,1.244,1.04,0.816,1.016,0.976,1.16,1.052
0.98,1.012,0.98,1.212,1.048,0.844,1.072,0.936,1.092,1.056
0.984,1.012,0.96,1.224,1.072,0.8,1.076,0.876,0.952,1.04
0.98,1.012,0.952,1.236,1.06,0.768,0.964,0.84,1.084,1.088
0.984,1.028,0.956,1.224,1.088,0.832,1.036,0.868,1.216,1.092
0.984,1.02,0.972,1.2,1.084,0.832,1.092,0.896,1.176,1.092
0.996,1.032,0.964,1.176,1.108,0.776,1.028,0.936,1.344,1.096
1.004,1.04,0.996,1.152,1.096,0.752,0.944,0.968,1.248,1.084
1,1.028,1.004,1.12,1.112,0.784,1.036,0.996,1.4,1.068
1,1.044,0.984,1.072,1.108,0.808,1.036,1.016,1.3,1.068
0.976,1.028,0.996,1.14,1.124,0.764,0.988,1.04,1.284,1.04
0.968,1.012,0.992,1.172,1.124,0.776,1.004,1.008,1.336,0.984
0.98,1.016,0.98,1.196,1.124,0.824,1.028,0.96,1.248,1.032
0.984,1.028,0.988,1.26,1.128,0.788,0.98,0.916,1.368,1.076
0.98,1.02,0.992,1.28,1.136,0.74,1.012,0.888,1.316,1.1
0.98,1.028,0.98,1.272,1.136,0.772,1.036,0.876,1.508,1.12
0.992,1.04,0.992,1.272,1.136,0.812,1.024,0.872,1.444,1.068
0.996,1.032,1.008,1.28,1.12,0.784,0.948,0.876,1.472,0.976
1,1.024,0.976,1.248,1.12,0.72,0.98,0.908,1.472,0.984
1.008,1.04,0.992,1.228,1.12,0.712,1.04,0.928,1.332,1.016
1.024,1.024,1.004,1.22,1.116,0.744,1.004,0.928,1.468,1.036
1.028,1.024,0.98,1.2,1.112,0.976,0.932,0.968,1.316,1.072
1.02,1.024,0.98,1.196,1.088,0.76,0.988,1.028,1.38,1.092
1.016,1.008,0.996,1.2,1.092,0.712,1.02,1.044,1.316,1.048
1.012,1,1,1.208,1.092,0.756,0.976,1.012,1.468,1.052
1.016,1.02,0.964,1.216,1.104,0.836,0.88,0.96,1.356,1.044
1.004,1.008,0.968,1.252,1.088,0.788,0.9,0.92,1.58,0.992
1.004,1.016,0.972,1.248,1.096,0.768,0.988,0.88,1.4,1.028
1.016,1.02,0.98,1.216,1.104,0.752,0.976,0.912,1.496,1.076
1.028,1.012,0.98,1.248,1.104,0.744,0.952,0.936,1.42,1.08
1.008,1,0.972,1.212,1.092,0.784,1.008,0.96,1.4,1.104
1.02,1.012,0.976,1.212,1.1,0.864,1,0.96,1.516,1.072
1.028,1.024,0.964,1.204,1.104,0.816,0.904,0.976,1.456,1.004
1.02,1.004,0.944,1.188,1.104,0.736,0.92,0.964,1.432,1.02
1.008,1.032,0.936,1.176,1.108,0.788,0.988,0.936,1.5,1.004
1.016,1.028,0.936,1.152,1.096,0.832,1,0.92,1.52,0.948
1.024,1.036,0.924,1.16,1.092,0.872,0.928,0.912,1.552,1.008
1.008,1.044,0.944,1.156,1.096,0.748,0.988,0.924,1.632,1.024
1.008,1.032,0.964,1.152,1.08,0.772,1.036,0.912,1.576,0.992
1.016,1.04,0.968,1.116,1.076,0.816,0.988,0.912,1.608,1.076
1.016,1.04,0.98,1.124,1.08,0.768,0.932,0.888,1.464,1.128
1.004,1.02,1.004,1.128,1.06,0.728,0.98,0.892,1.64,1.04
1.016,1.012,0.988,1.1,1.06,0.776,1.008,0.932,1.52,1.084
1.024,1.032,0.976,1.06,1.064,0.864,0.96,0.996,1.588,1.04
1.012,1.028,1.008,1.088,1.056,0.772,0.916,1.024,1.464,0.972
1.016,1.02,0.968,1.104,1.056,0.74,1.004,1.032,1.632,1.012
1.024,1.036,0.956,1.1,1.056,0.752,1.048,0.972,1.412,1.016
1.028,1.04,0.912,1.16,1.056,0.836,0.996,0.92,1.536,0.968
1.008,1.032,0.896,1.108,1.048,0.788,0.932,0.94,1.412,1.036
1.012,1.048,0.868,1.1,1.044,0.736,1.012,0.916,1.552,1.036
1.016,1.036,0.864,1.112,1.044,0.764,1.072,0.92,1.464,0.996
1.012,1.032,0.848,1.144,1.048,0.824,1.016,0.916,1.556,1.056
1.004,1.044,0.892,1.124,1.048,0.92,1.012,0.904,1.488,1.048
0.996,1.032,0.924,1.112,1.044,0.784,1.02,0.884,1.424,1.008
1,1.036,0.928,1.156,1.056,0.76,1.008,0.904,1.544,1.032
1.008,1.056,0.964,1.16,1.036,0.784,0.936,0.932,1.42,0.996
1.012,1.032,0.984,1.24,1.04,0.78,0.908,0.948,1.644,1.012
1.004,1.024,0.972,1.16,1.06,0.732,0.992,0.928,1.464,1.044
1.004,1.036,0.988,1.176,1.052,0.748,1.08,0.904,1.42,1.016
1.004,1.032,0.964,1.288,1.04,0.764,0.956,0.884,1.4,0.964
1.004,1.032,0.96,1.212,1.056,0.76,1.036,0.912,1.372,1.016
1,1.044,0.952,1.216,1.052,0.708,1.06,0.924,1.552,1.016
0.98,1.032,0.964,1.2,1.052,0.716,1.032,0.924,1.552,0.952
0.996,1.028,0.948,1.248,1.032,0.732,0.936,0.92,1.568,0.98
0.992,1.036,0.956,1.204,1.056,0.72,0.992,0.896,1.528,1.004
0.988,1.04,0.96,1.236,1.028,0.708,1.032,0.876,1.416,0.988
1,1.016,0.968,1.232,1.044,0.756,1.056,0.884,1.54,0.98
1.004,1.032,0.996,1.16,1.012,0.804,0.98,0.944,1.392,1.016
0.996,1.024,0.98,1.168,1.036,0.816,0.968,0.96,1.584,1.024
0.992,1.028,0.98,1.144,1,0.748,1.056,0.968,1.48,0.972
0.992,1.044,0.992,1.112,1.008,0.784,1.068,0.952,1.452,0.988
1.004,1.04,0.956,1.08,1.012,0.82,1.024,0.9,1.524,0.992
1.004,1.032,0.952,1.012,1.032,0.752,1.044,0.864,1.388,0.96
1.008,1.044,0.956,1.036,1.008,0.76,1.064,0.884,1.476,0.98
0.96,1.052,0.944,1.044,1.052,0.764,1.052,0.912,1.436,0.992
0.96,1.044,0.948,1.044,1.048,0.776,1.028,0.908,1.48,0.98
0.912,1.064,0.98,1.064,1.048,0.732,0.988,0.904,1.444,1.04
0.888,1.052,0.98,1.036,1.048,0.692,1.004,0.896,1.424,1.06
0.896,1.036,0.992,1.056,1.032,0.736,1.02,0.864,1.492,1.028
0.904,1.056,1.024,1.052,1.032,0.876,0.928,0.856,1.42,1.064
0.928,1.048,1.004,1.044,1.032,0.92,0.936,0.856,1.412,1.04
0.948,1.044,1.004,1.052,1.04,0.8,1.044,0.904,1.46,0.98
0.952,1.024,1.012,1.052,1.028,0.82,1.008,0.92,1.356,1.004
0.972,1.052,0.996,1.056,1.012,0.8,0.96,0.916,1.692,0.984
0.992,1.036,0.992,1.068,1.032,0.736,1.08,0.932,1.388,0.956
1.004,1.04,0.98,1.104,0.996,0.752,1.028,0.936,1.492,0.988
1.004,1.052,0.956,1.112,1.024,0.828,0.996,0.9,1.56,0.984
1.016,1.056,0.944,1.252,1.012,0.824,1.068,0.876,1.348,0.944
1.024,1.028,0.96,1.252,1.024,0.752,1.064,0.864,1.488,0.996
1.036,1.048,0.96,1.236,1.032,0.76,0.948,0.896,1.504,1.012
1.024,1.056,0.972,1.288,1.048,0.764,1.004,0.904,1.384,0.96
1.036,1.056,0.984,1.292,1.052,0.772,1.04,0.916,1.54,1
1.06,1.044,0.96,1.28,1.064,0.744,0.968,0.908,1.356,1.02
1.08,1.068,0.968,1.268,1.076,0.752,1.028,0.904,1.524,0.956
1.076,1.06,0.972,1.3,1.072,0.8,1.02,0.876,1.396,0.976
1.088,1.044,0.964,1.296,1.092,0.828,0.828,0.872,1.624,0.972
1.076,1.06,0.976,1.276,1.08,0.76,0.784,0.884,1.4,0.924
1.064,1.048,0.984,1.272,1.108,0.756,0.796,0.876,1.52,0.952
1.048,1.036,0.976,1.264,1.088,0.776,1.056,0.888,1.408,0.988
1.064,1.056,0.98,1.268,1.096,0.82,1.096,0.892,1.444,0.968
1.064,1.04,0.984,1.26,1.088,0.8,1.036,0.896,1.48,1.04
1.04,1.024,0.984,1.272,1.088,0.724,1.1,0.892,1.376,1.044
1.048,1.044,0.996,1.228,1.076,0.72,1.124,0.888,1.552,0.956
1.052,1.036,1.016,1.248,1.076,0.764,1.084,0.904,1.364,0.964
1.04,1.024,1,1.252,1.088,0.86,0.964,0.936,1.452,0.996
1.028,1.048,0.992,1.204,1.096,0.776,1.028,0.924,1.404,1
1.048,1.036,0.976,1.208,1.112,0.7,1.06,0.92,1.46,0.98
1.044,1.024,0.952,1.22,1.124,0.688,1.016,0.924,1.476,1.028
1.032,1.06,0.968,1.152,1.128,0.72,1.024,0.912,1.38,1.028
1.02,1.036,0.98,1.136,1.124,0.692,1.044,0.92,1.488,0.996
1.024,1.044,0.972,1.08,1.128,0.66,1.012,0.932,1.288,1.044
1.032,1.06,0.976,1.044,1.136,0.668,1.012,0.944,1.468,1.056
1.024,1.032,0.988,1.02,1.124,0.668,1,0.924,1.456,1.024
1.032,1.052,0.968,1.048,1.124,0.732,0.98,0.932,1.396,1.056
1.028,1.036,0.972,0.972,1.124,0.868,0.988,0.932,1.412,1.04
1.028,1.044,0.968,0.968,1.128,0.864,0.984,0.984,1.324,0.972
1.024,1.044,0.948,1.12,1.132,0.772,0.936,0.996,1.532,1
1.012,1.028,0.932,1.056,1.128,0.76,0.94,0.98,1.308,1.016
1.024,1.036,0.948,1.048,1.116,0.776,0.984,0.936,1.404,0.976
1.02,1.044,0.94,1.044,1.12,0.724,0.924,0.888,1.456,1.028
1.016,1.032,0.944,1.068,1.112,0.676,0.948,0.832,1.428,1.104
1,1.044,0.956,1.056,1.1,0.652,0.944,0.828,1.384,1.032
1.008,1.036,0.976,1.056,1.088,0.648,0.884,0.836,1.332,1.076
1,1.036,0.992,1.096,1.084,0.748,0.872,0.832,1.472,1.064
1,1.036,0.996,1.1,1.084,1.132,0.908,0.848,1.328,1.008
0.984,1.036,0.984,1.076,1.08,0.984,0.944,0.888,1.476,1.008
0.988,1.048,0.972,1.084,1.08,0.928,0.832,0.968,1.3,0.944
0.992,1.04,0.988,1.148,1.088,0.808,0.86,1.04,1.528,0.9
1,1.036,1.012,1.176,1.084,0.728,0.948,1.044,1.392,0.908
0.992,1.036,0.996,1.26,1.072,0.764,0.952,1.008,1.376,0.984
0.996,1.032,1,1.216,1.076,1.088,0.952,0.96,1.436,1.012
1.004,1.036,1,1.244,1.08,0.788,0.984,0.904,1.3,1.184
1.008,1.024,0.984,1.252,1.068,0.74,1,0.884,1.516,1.164
0.996,1.028,0.996,1.28,1.064,0.8,0.976,0.884,1.32,1.14
0.996,1.032,0.984,1.328,1.044,0.904,0.976,0.876,1.508,1.136
1.02,1.032,0.98,1.356,1.04,0.788,0.888,0.884,1.332,1.092
1.024,1.04,0.988,1.34,1.032,0.74,0.944,0.9,1.348,1.08
1.02,1.036,0.984,1.32,1.032,0.808,1.032,0.912,1.488,1.072
1.024,1.028,0.976,1.292,1.04,0.944,1.04,0.952,1.408,1.008
1.036,1.04,0.988,1.28,1.04,0.904,0.924,0.996,1.476,0.932
1.04,1.04,0.964,1.248,1.052,0.836,0.904,0.992,1.324,0.94
1.02,1.048,0.96,1.232,1.056,0.848,0.972,0.952,1.46,0.956
1.02,1.056,0.968,1.204,1.064,0.816,1.036,0.924,1.308,0.964
1.012,1.048,0.968,1.184,1.068,0.78,0.972,0.904,1.468,1.044
1.008,1.044,0.976,1.18,1.064,0.748,1.148,0.872,1.388,1.104
1,1.052,0.992,1.164,1.076,0.784,1.128,0.872,1.436,1.048
1.008,1.036,0.976,1.16,1.076,0.8,0.988,0.876,1.372,1.1
1.004,1.044,0.992,1.184,1.08,0.784,1.044,0.9,1.32,1.072
0.996,1.052,1,1.152,1.08,0.808,1.084,0.96,1.564,1.056
1,1.04,0.996,1.128,1.08,0.772,1.012,1.012,1.388,1.068
1.008,1.056,1.016,1.076,1.076,0.712,1.056,1.028,1.548,1.016
1.008,1.068,1.02,1.052,1.084,0.744,1.048,1.016,1.424,1.052
0.984,1.052,0.992,1.044,1.088,0.832,0.992,1,1.476,1.016
0.984,1.06,1.016,1.032,1.092,0.876,0.868,0.98,1.496,0.988
0.992,1.056,1.004,1.012,1.084,0.776,0.944,0.948,1.476,1.036
0.992,1.048,0.992,0.992,1.096,0.8,1.06,0.888,1.444,1
0.988,1.052,1.004,1.02,1.1,0.816,0.988,0.86,1.316,0.988
0.98,1.048,1.008,1.036,1.1,0.816,1.036,0.876,1.488,1.016
1.004,1.044,0.888,1.024,1.1,0.792,1.064,0.916,1.328,0.968
1.02,1.04,1.108,1.024,1.1,0.724,1.052,0.952,1.448,0.96
1.04,1.052,1.008,1.032,1.1,0.736,1.064,0.936,1.404,0.976
1.032,1.028,0.988,1.04,1.096,0.82,1.056,0.888,1.32,0.936
1.052,1.036,1,1.012,1.092,0.836,1.064,0.912,1.468,0.924
1.072,1.036,1.012,1.032,1.096,0.764,1.036,0.932,1.296,0.968
1.056,1.024,0.992,1.016,1.092,0.716,0.92,0.936,1.392,0.944
1.048,1.032,0.992,1.044,1.096,0.772,0.956,0.932,1.324,0.968
1.056,1.032,1,1.076,1.084,0.836,1.056,0.912,1.356,1.02
1.052,1.048,0.996,1.064,1.1,0.76,1.064,0.884,1.408,0.992
1.032,1.036,1.004,1.1,1.096,0.724,1.004,0.904,1.392,0.964
1.024,1.06,1.008,1.1,1.104,0.76,1.044,0.9,1.464,1.008
1.044,1.064,1.008,1.112,1.092,0.76,1.076,0.9,1.328,1.008
1.044,1.044,1.012,1.2,1.096,0.748,0.984,0.904,1.504,0.976
1.036,1.048,1.012,1.212,1.08,0.788,0.992,0.928,1.308,0.992
1.02,1.04,0.98,1.184,1.06,0.832,1.012,0.94,1.364,0.984
1.032,1.052,0.992,1.172,1.044,0.768,0.928,0.932,1.328,0.976
1.036,1.028,0.98,1.316,1.032,0.712,0.92,0.896,1.364,1.068
1.024,1.04,0.98,1.244,1.012,0.732,1.016,0.876,1.504,1.088
1.016,1.04,0.98,1.288,1.008,0.796,1.072,0.896,1.34,1.044
1.024,1.024,1.004,1.264,1,0.784,1.032,0.908,1.452,1.064
1.024,1.044,0.996,1.252,1,0.728,1.044,0.912,1.324,1.036
1.012,1.036,1.004,1.284,1,0.76,1.052,0.9,1.516,0.968
1.008,1.032,1.008,1.288,1,0.836,1.012,0.892,1.372,0.98
0.996,1.056,1.028,1.276,1,0.772,0.94,0.936,1.3,0.996
1.008,1.044,1.004,1.28,1,0.736,0.976,0.98,1.388,0.96
0.996,1.024,1.008,1.252,1.024,0.752,1.012,0.98,1.268,0.992
1.02,1.036,0.996,1.256,1.004,0.844,1.044,0.952,1.5,1.032
1.044,1.032,0.968,1.244,1.024,0.76,1.028,0.924,1.424,1.012
1.048,1.036,0.988,1.264,1.008,0.748,0.976,0.908,1.304,1.048
1.04,1.032,0.976,1.276,1.016,0.808,1.036,0.884,1.42,1.04
1.036,1.04,0.96,1.284,1.036,0.888,1.068,0.896,1.304,0.984
1.04,1.028,0.948,1.312,1.02,0.808,1.06,0.88,1.396,1.02
1.04,1.044,0.968,1.312,1.028,0.816,0.92,0.856,1.372,1.04
1.016,1.032,0.964,1.284,1.056,0.82,0.876,0.856,1.36,0.98
1.02,1.032,0.968,1.276,1.064,0.768,0.976,0.856,1.372,1.024
1.024,1.024,0.976,1.272,1.08,0.74,1.132,0.92,1.304,0.996
1.02,1.016,0.996,1.256,1.076,0.74,0.944,0.98,1.576,0.956
1.012,1.048,0.968,1.272,1.072,0.892,1.016,0.98,1.364,0.992
1.024,1.024,0.996,1.24,1.076,0.952,1.152,0.944,1.404,1.02
1.028,1.036,1.016,1.264,1.068,0.92,1.092,0.9,1.408,0.956
1.02,1.036,0.992,1.188,1.064,0.84,0.988,0.9,1.376,1
1.02,1.04,0.984,1.2,1.064,0.832,1.072,0.896,1.428,1.044
1.024,1.036,1.008,1.2,1.064,0.844,1.096,0.888,1.288,0.98
1.02,1.036,1.02,1.164,1.064,0.836,0.964,0.86,1.46,1.012
0.988,1.016,0.996,1.164,1.052,0.788,0.98,0.888,1.308,1.016
0.996,1.008,0.972,1.14,1.052,0.72,1.088,0.912,1.34,0.952
0.992,1.032,0.968,1.132,1.06,0.772,1.048,0.956,1.424,0.892
0.98,1.04,0.952,1.088,1.064,0.896,1.024,0.948,1.372,0.824
0.984,1.048,0.944,1.096,1.068,0.888,1.096,0.932,1.448,0.76
0.98,1.044,0.944,1.068,1.068,0.868,1.104,0.884,1.304,0.808
1.008,1.044,0.928,1.068,1.068,0.9,1,0.896,1.448,1.248
1.024,1.048,0.94,1.06,1.08,0.908,1.032,0.888,1.44,1.1
1.012,1.068,0.968,1.06,1.08,0.776,1.072,0.888,1.364,1.004
1.024,1.064,0.96,1.06,1.092,0.72,1.068,0.868,1.512,0.984
1.044,1.06,0.952,1.068,1.088,0.748,1.084,0.876,1.404,1
1.048,1.064,0.968,1.052,1.092,0.828,1.104,0.916,1.372,0.948
1.036,1.076,0.968,1.088,1.104,0.776,1.084,0.932,1.388,0.968
1.04,1.084,0.984,1.088,1.108,0.78,1.044,0.92,1.356,0.996
1.056,1.072,0.988,1.092,1.108,0.848,1.048,0.88,1.54,1.004
1.056,1.076,0.968,1.2,1.104,0.848,1.036,0.876,1.48,0.996
1.048,1.076,0.976,1.236,1.112,0.768,1.02,0.86,1.564,1.036
1.036,1.092,0.988,1.176,1.112,0.796,1.052,0.86,1.424,1.044
1.036,1.076,0.968,1.204,1.1,0.864,1.032,0.868,1.552,1.036
1.044,1.076,0.992,1.264,1.092,0.772,1.016,0.86,1.384,1.064
1.024,1.048,0.984,1.276,1.084,0.772,1.028,0.868,1.548,1.076
1.036,1.028,0.972,1.316,1.068,0.78,1.032,0.888,1.384,1.08
